,sheadline,numrech,dfyh
577,[CLS]this kid made 72 million during lunch[SEP],577,1
578,[CLS]it is rubbish that robert plant turned down 500m led zeppelin reformation offer says publicist[SEP],578,2
579,[CLS]russian yeti or bigfoot hoax [SEP],579,3
580,[CLS]spider burrowed through tourist stomach and up into his chest[SEP],580,0
581,[CLS]dna test confirms child is is head abu bakr al baghdadi daughter[SEP],581,1
582,[CLS]is kim jong un opening north korean restaurant in scotland [SEP],582,2
583,[CLS]alleged audio of michael brown shooting has surfaced[SEP],583,3
584,[CLS]priest who died for 48 minutes says he met god and she is a woman[SEP],584,0
585,[CLS]teen makes 72 million on the stock market[SEP],585,1
586,[CLS]one of taliban five in bowe bergdahl swap allegedly returned to militancy[SEP],586,2
587,[CLS]mexico says missing students not found in first mass graves[SEP],587,3
588,[CLS]dumped woman spends a week in kfc to get over ex[SEP],588,0
589,[CLS]meet the 17 year old who made 72 million during his high school lunch breaks[SEP],589,1
590,[CLS]mohammed emwazi man identified as isis killer jihadi john was stopped by mi5 while on safari holiday in africa in 2010[SEP],590,2
591,[CLS]boko haram denies ceasefire claim by nigeria government[SEP],591,3
592,[CLS]net extra back from the dead catholic priest claims god is a female[SEP],592,0
593,[CLS]breaking brat pack judd nelson found dead in los angeles condo[SEP],593,1
594,[CLS]nigeria boko haram reach ceasefire deal kidnapped girls to go free official says[SEP],594,2
595,[CLS]alleged ottawa gunman what we know so far about michael zehaf bibeau[SEP],595,3
596,[CLS]ottawa shooting sergeant at arms kevin vickers hailed a hero for shooting rampaging gunman[SEP],596,0
597,[CLS]a mass grave points to a student massacre in mexico[SEP],597,1
598,[CLS]oscar winner christian bale to play steve jobs in upcoming biopic[SEP],598,2
599,[CLS]see how this homeless man spends a hundred dollars and keep a tissue handy video [SEP],599,3
600,[CLS]boy 16 secretly films sex with teacher then uploads it to whatsapp[SEP],600,0
601,[CLS]was the video of that homeless man doing good deeds with 100 all an elaborate hoax [SEP],601,1
602,[CLS]resetting ios 8 preferences may wipe icloud files[SEP],602,2
603,[CLS]l jinny [SEP],603,3
604,[CLS]kim jong un scottish dog meat restaurant is probably fabricated shite[SEP],604,0
605,[CLS]daash ebola transferred to mosul google translate [SEP],605,1
606,[CLS]wife and son of isil leader abu bakr al baghdadi detained at lebanon border [SEP],606,2
607,[CLS]ottawa shooting soldier shot at canada national war memorial[SEP],607,3
608,[CLS]durex is not making pumpkin spice condoms after all a hoax debunked[SEP],608,0
609,[CLS]christian bale will not play steve jobs[SEP],609,1
610,[CLS]news sites fall for putin bird dropping video[SEP],610,2
611,[CLS]seth rogen reportedly nabs steve wozniak role in steve jobs filmsteve jobs iconic moments[SEP],611,3
612,[CLS]bodies in mexico mass grave apparently not those of missing students[SEP],612,0
613,[CLS]11 aircraft are missing from terrorist held tripoli airport ahead of 9 11 anniversary[SEP],613,1
614,[CLS]israeli canadian fighting isis posts on facebook I am safe and secure[SEP],614,2
615,[CLS]police hunt tweed jacket wearing man who slaps shoppers for sneezing[SEP],615,3
616,[CLS]vice ceo throws down 300k on lavish vegas dinner[SEP],616,0
617,[CLS]priest claim of seeing god as a woman dismissed as hoax[SEP],617,1
618,[CLS]video islamic state claims to have captured us weapons airdrop near kobane[SEP],618,2
619,[CLS]meteorite leaves house sized crater in nicaraguas capital[SEP],619,3
620,[CLS]brian williams demands apology from social media over erroneous urination reports video [SEP],620,0
621,[CLS]pope francis turns out not to have made pets in heaven comment[SEP],621,1
622,[CLS]audio recording allegedly captures moment michael brown was shot[SEP],622,2
623,[CLS]does vogue new office have a rat infestation [SEP],623,3
624,[CLS]after giving a homeless man 100 this guy secretly filmed him [SEP],624,0
625,[CLS]11 tripoli planes still missing sparks 9 11 concerns[SEP],625,1
626,[CLS]mexican investigators fear mass grave might hold 43 missing students[SEP],626,2
627,[CLS]meteorite leaves crater in nicaraguan capital managua[SEP],627,3
628,[CLS]china satirical site warns citizens over name choices[SEP],628,0
629,[CLS] updated 11 men and 0 women on tonight espn domestic violence panel[SEP],629,1
630,[CLS]us hostage luke somers dies after rescue bid[SEP],630,2
631,[CLS]james foley remembered as brave and tireless journalist[SEP],631,3
632,[CLS]british hostage david haines beheaded by islamic state terrorists[SEP],632,0
633,[CLS]weather reporter caught writing his name in the snow was not ready to go on camera updated [SEP],633,1
634,[CLS]that boko haram ceasefire in nigeria is not a ceasefire[SEP],634,2
635,[CLS]homeless man receives 100 then shocks everyone with how he spends it[SEP],635,3
636,[CLS]tropical spider burrowed under man skin through appendix scar and lived there for three days[SEP],636,0
637,[CLS]this is a truly horrifying story about a spider[SEP],637,1
638,[CLS]abdel majed abdel bary emerges as suspect in foley beheading[SEP],638,2
639,[CLS]islamic state using scorpion bombs to terrorise victims[SEP],639,3
640,[CLS] american bombing had signed my death certificate missing us journalist james wright foley goes unflinching to his death as isis behead him in horrific video as a warning to obama[SEP],640,0
641,[CLS]meteor leaves 40 foot crater near managua airport[SEP],641,1
642,[CLS]google to buy big chunk of pacific shores iconic redwood city office park[SEP],642,2
643,[CLS]first bendgate now it is hairgate angry iphone 6 owners claim design is causing chunks of their hair to be ripped out when they make a phone call[SEP],643,3
644,[CLS]seven girls as young as 13 become pregnant on a school trip[SEP],644,0
645,[CLS]singing polar bear facing asbo after noise complaint[SEP],645,1
646,[CLS]isis reportedly beheads american photojournalist in iraq[SEP],646,2
647,[CLS]isis getting ebola[SEP],647,3
648,[CLS]spider burrows into australian man appendix scar video [SEP],648,0
649,[CLS]managua explosion not a meteorite nasa suggests[SEP],649,1
650,[CLS]brian williams slams social media for speculation weatherman mike seidel relieved himself on air[SEP],650,2
651,[CLS]apple watch may be powered by samsung processor[SEP],651,3
652,[CLS]man who skipped work for 24 years is finally fired[SEP],652,0
653,[CLS]news you will never guess how a homeless man spent 100watch the touching video [SEP],653,1
654,[CLS]star wars 7 jj abrams want to move release to summer 2015[SEP],654,2
655,[CLS]no saudi tv did not blur out images of michelle obama[SEP],655,3
656,[CLS]pentagon 1 weapons bundle seized by militants[SEP],656,0
657,[CLS]here video of a bird pooping on vladimir putin in the middle of a speech[SEP],657,1
658,[CLS]did a meteorite impact in nicaragua over the weekend [SEP],658,2
659,[CLS]boyfriend cuts off his penis and throws it in the bin after girlfriend dumps him for being bad in bed[SEP],659,3
660,[CLS]sadly pumpkin spice condoms are not a thing after all[SEP],660,0
661,[CLS]teen made 72 million trading stocks confirms teen dominance worldwide[SEP],661,1
662,[CLS]breaking isis uses chemical weapons murders 300 iraqi soldiers in chlorine gas attack[SEP],662,2
663,[CLS]zack snyder makes fun of stolen batmobile rumor with new image[SEP],663,3
664,[CLS]pentagon confirms al shabab leader killed in airstrike in somalia[SEP],664,0
665,[CLS]god is a woman resurrected father narated[SEP],665,1
666,[CLS]isis claims an american hostage kayla mueller died in airstrike in syria[SEP],666,2
667,[CLS]video messaging service verifies timing of cnn audio recording[SEP],667,3
668,[CLS]everybody relax banksy was not arrested and exposed as a 35 year old man[SEP],668,0
669,[CLS]tropical spider burrows under man skin lives there for three days[SEP],669,1
670,[CLS]boyfriend cuts off his penis and throws it in the bin after girlfriend dumps him for being bad in bed[SEP],670,2
671,[CLS]more than 200 kidnapped nigerian girls to be released after deal reached with boko haram[SEP],671,3
672,[CLS]lego letter from the 1970s still offers a powerful message to parents 40 years later[SEP],672,0
673,[CLS]bali spider burrows under aussies chest[SEP],673,1
674,[CLS]isis fighters have contracted ebola world health organisation investigating reports militants showed up at iraqi hospital with lethal disease[SEP],674,2
675,[CLS]despite ceasefire announcement new boko haram attacks reported[SEP],675,3
676,[CLS]pumpkin spice condoms [SEP],676,0
677,[CLS]that was fast christian bale bails on steve jobs biopic[SEP],677,1
678,[CLS]bali awry[SEP],678,2
679,[CLS]apple in talks to become launch partner for cable free hbo now service[SEP],679,3
680,[CLS]batmobile stolen in detroit [SEP],680,0
681,[CLS]christian bale in talks to play steve jobs in sony next biopic[SEP],681,1
682,[CLS]nypd to issue tickets instead of arrest for weed possession report says[SEP],682,2
683,[CLS]boko haram ceasefire doubts after attacks reported in nigeria[SEP],683,3
684,[CLS]christmas is cancelled pumpkin spice condoms are a goddamn hoax[SEP],684,0
685,[CLS]hope fades for girls release after boko haram truce breached[SEP],685,1
686,[CLS]we took a look at the photo said to show the body of islamic state leader abu bakr al baghdadi right and found it was really an ethnic albanian militant killed in 2013[SEP],686,2
687,[CLS]passenger wears a hazmat suit to dulles airport[SEP],687,3
688,[CLS]who says reports of suspected ebola cases in iraq are untrue[SEP],688,0
689,[CLS]nbc weatherman caught urinating in the woods live on air[SEP],689,1
690,[CLS]audio of gunfire in michael brown case authenticated by app company[SEP],690,2
691,[CLS]eggnog chugging contest leads to hospital stay[SEP],691,3
692,[CLS]microsoft tried out robot security guards on its silicon valley campus[SEP],692,0
693,[CLS]catholic priest dies for 48 mins wakes up claiming god is a woman[SEP],693,1
694,[CLS]was nbc meteorologist mike seidel peeing in the snow on camera [SEP],694,2
695,[CLS]woman spends entire week in kfc after getting dumped by her boyfriend[SEP],695,3
696,[CLS]banksy illustrated response to the charlie hebdo attack is not by banksy[SEP],696,0
697,[CLS]how did fake chinese news site dupe washington post atlantic bbc [SEP],697,1
698,[CLS]reports of missing libyan planes raise 9 11 terror fears[SEP],698,2
699,[CLS]taliban member swapped by obama for bowe bergdahl tried to return to terror report[SEP],699,3
700,[CLS]web of confusion as scientists cast doubt on man claims that a spider burrowed into his stomach through his scar[SEP],700,0
701,[CLS]dna tests prove lebanon is holding isis chief al baghdadi ex wife and daughter after they were caught with fake passports[SEP],701,1
702,[CLS]update batman v superman batmobile reportedly stolen by shocker [SEP],702,2
703,[CLS]audio recording allegedly captures moment michael brown was shot[SEP],703,3
704,[CLS]crank boosting behind top apps in app store[SEP],704,0
705,[CLS]report christian bale just bailed on the steve jobs movie[SEP],705,2
706,[CLS]guru who ordered 400 followers to be castrated so they could be closer to god is investigated for grievous bodily harm in india[SEP],706,2
707,[CLS]in moscow police are looking for a felon cut the male genitals[SEP],707,3
708,[CLS]comcast blocks tor[SEP],708,1
709,[CLS]the image that everyone is sharing by banksy is not by banksy but it is awesome[SEP],709,3
710,[CLS]no there are not any ebola cases in iraq[SEP],710,2
711,[CLS]lego letter from the 1970s still offers a powerful message to parents 40 years later[SEP],711,3
712,[CLS]israeli canadian woman captured by isis says she is safe and secure [SEP],712,0
713,[CLS]real life magneto boy becomes living magnet after getting massive electric shock from street lamp[SEP],713,0
714,[CLS]everyone chill [SEP],714,3
715,[CLS]anyone for dog meat soup [SEP],715,2
716,[CLS]hundreds of palestinians flee as israel opens dams into gaza valley[SEP],716,1
717,[CLS]is there an isis threat on the texas mexico border or not [SEP],717,2
718,[CLS]fidel castro dead [SEP],718,2
719,[CLS]video shows isil beheading of photojournalist james foley[SEP],719,3
720,[CLS]apples next macbook could be a 12 inch macbook air[SEP],720,3
721,[CLS]new audio shows michael brown was shot at 11 times[SEP],721,3
722,[CLS]isis leader abu bakr al baghdadi wife and son detained in lebanon [SEP],722,3
723,[CLS]mps credit sergeant at arms for saving lives in parliament hill shootings[SEP],723,2
724,[CLS]female teacher facing sack after making sex tape with teenager[SEP],724,1
725,[CLS] they ate through the ceilings and pooped on the keyboards rats are taking over vogue new world trade center office and anna wintour no longer wants to work there [SEP],725,2
726,[CLS]rumor robert plant ripped up 800 million contract to reunite led zeppelin called rubbish [SEP],726,3
727,[CLS]hundreds of dog lovers from around the world offer home to pet abandoned at the railway station with a suitcase containing his pillow toy bowl and favourite food[SEP],727,0
728,[CLS]dna test confirms child is is head abu bakr al baghdadi daughter[SEP],728,2
729,[CLS]video showing american journalist beheaded believed real officials and family say[SEP],729,2
730,[CLS]teacher suspended after sex session with teen pupil ends up on hardcore porn website[SEP],730,1
731,[CLS]not coming to a store near you the pumpkin spice condom[SEP],731,3
732,[CLS]islamic state militants claim to have beheaded us journalist james wright foley[SEP],732,3
733,[CLS]meteorite makes big crater in nicaragua government says[SEP],733,2
734,[CLS]tee off in your own putting paradise swedish luxury island owned by tiger woods up for sale and it comes with a villa a hot tub and a lodge[SEP],734,0
735,[CLS]nasa questions whether crater in nicaragua caused by meteorite[SEP],735,1
736,[CLS]attorney new audio reveals pause in gunfire when michael brown was shot[SEP],736,2
737,[CLS]islamic state killer jihadi john named as mohammed emwazi[SEP],737,3
738,[CLS]wife and son of isil leader abu bakr al baghdadi detained at lebanon border [SEP],738,1
739,[CLS]militant group says it killed american journalist in syria[SEP],739,2
740,[CLS] hairgate iphone 6 users encounter latest apple problem after bendgate [SEP],740,3
741,[CLS]isil video claims beheading of kidnapped journalist james foley[SEP],741,2
742,[CLS]missing jetliners raise fear of new 9 11 style attacks after libyan airport falls to islamic militants[SEP],742,2
743,[CLS]small meteorite hits managua[SEP],743,2
744,[CLS]priest who died for 48 minutes says he met god and she is a woman[SEP],744,3
745,[CLS]what was fake on the internet this week obamas peace prize pumpkin spice condoms and insane winter snow[SEP],745,0
746,[CLS]mum faces real life sophie choice as she tries to sell her son to fund daughter care[SEP],746,3
747,[CLS]media fooled again [SEP],747,1
748,[CLS]cpwd official sacked for absence from duty for 25 years[SEP],748,0
749,[CLS]female teacher facing sack after making sex tape with teenager[SEP],749,1
750,[CLS]officials report that area town is under ebola quarantine is false[SEP],750,3
751,[CLS]feminist aborts baby for being a boy shocked people do not approve[SEP],751,3
752,[CLS]the guy who said a spider burrowed under his skin [SEP],752,2
753,[CLS]espn domestic violence panel is missing something important[SEP],753,3
754,[CLS]macaulay culkin dead [SEP],754,0
755,[CLS]homeland security no isil fighters on you s[SEP],755,2
756,[CLS]the flood libel propagandists of 2015[SEP],756,0
757,[CLS]macaulay culkin victim of another online death hoax[SEP],757,0
758,[CLS]confusion swirls details murky in arrest of isis leader wife [SEP],758,2
759,[CLS]kurds deny gill rosenberg was in kobane[SEP],759,3
760,[CLS]senator detainees swapped for bergdahl have contacted militants[SEP],760,3
761,[CLS]new audio recording from ferguson may capture michael brown shooting[SEP],761,2
762,[CLS]cook said to confirm apple watch is showerproof lasts a day[SEP],762,3
763,[CLS]james foley american journalist james wright foley beheaded in new isis video breaking news [SEP],763,3
764,[CLS]boko haram ceasefire doubts after attacks reported in nigeria[SEP],764,0
765,[CLS]that story about a catholic priest dying seeing god as a woman and coming back to life [SEP],765,1
766,[CLS]bunbury local discovered a spider had burrowed under his skin on bali holiday[SEP],766,2
767,[CLS]texas turkey farm contaminated with ebola over 250 000 holiday turkeys infected[SEP],767,3
768,[CLS]calm yourselves durex has not come out with a pumpkin spice condom[SEP],768,0
769,[CLS]bugatti veyron vandalized with penis graffiti [SEP],769,1
770,[CLS]isilkulskom student has gained superhero powers after shock[SEP],770,2
771,[CLS]the apple watch will debut by late march report [SEP],771,3
772,[CLS]doubts cast over nicaragua meteorite claim[SEP],772,0
773,[CLS]meteorite strike in nicaragua puzzles experts[SEP],773,1
774,[CLS]weaponized ebola [SEP],774,2
775,[CLS]robot security guards now patrolling microsoft silicon valley campus[SEP],775,3
776,[CLS]rapper big bank hank of sugarhill gang dies at 57[SEP],776,0
777,[CLS]batman set to play steve jobs in upcoming biopic[SEP],777,1
778,[CLS]missing libyan aircraft spark fears of 9 11 style attack in north africa[SEP],778,2
779,[CLS]dylan thomas finds tropical spider burrowed under skin[SEP],779,3
780,[CLS]pants on fire duncan hunter makes unconfirmed claim border patrol caught at least 10 isis fighters[SEP],780,0
781,[CLS]god is a woman resurrected father narated[SEP],781,1
782,[CLS]world oldest burger[SEP],782,2
783,[CLS]rats at vogue nyc offices watch your step anna wintour[SEP],783,3
784,[CLS]blundering boyfriend burns down college after trying to impress his girlfriend with elaborate marriage proposal[SEP],784,0
785,[CLS]priest who died for 48 minutes says he met god and she is a woman[SEP],785,1
786,[CLS]no islamic state militants have not been caught by you s[SEP],786,2
787,[CLS]a wanted man responded to a police facebook post that he would turn himself in[SEP],787,3
788,[CLS]ypg confirms gill rosenberg not captured in kobani[SEP],788,0
789,[CLS]rumor robert plant ripped up 800 million contract to reunite led zeppelin called rubbish [SEP],789,1
790,[CLS]horror isis fighters have reportedly contracted ebola[SEP],790,2
791,[CLS]aaron sorkin confirms christian bale will play steve jobs[SEP],791,3
792,[CLS]obama outraged over beheading vows to stay on course[SEP],792,0
793,[CLS]eyewitness viral video that netted 130k in donations is bullshit [SEP],793,1
794,[CLS]cnn audio is this the moment michael brown was shot [SEP],794,2
795,[CLS]isis unleash scorpion bombs in iraq[SEP],795,3
796,[CLS]macaulay culkin not dead facebook twitter death hoax goes viral[SEP],796,0
797,[CLS] i aborted my baby because it was a boy outrage after feminist blogger claims gender prompted termination[SEP],797,1
798,[CLS]former british rapper reportedly under investigation for james foley beheading[SEP],798,2
799,[CLS]michael phelps alleged girlfriend says she was born intersex[SEP],799,3
800,[CLS]hostage david haines murder evil pm says[SEP],800,0
801,[CLS]christian bale exits steve jobs movie exclusive [SEP],801,1
802,[CLS]nigeria says it has deal with boko haram to release kidnapped girls[SEP],802,2
803,[CLS]isil beheads american photojournalist in iraq[SEP],803,3
804,[CLS]taibbi takes time out from first look after disagreements[SEP],804,0
805,[CLS]what glenn beck fears may be done with the 11 missing jets[SEP],805,1
806,[CLS]kim jong un planning scottish restaurant[SEP],806,2
807,[CLS]kim yo jong kim jong uns sister takes control of north korea while brother gets treatment [SEP],807,3
808,[CLS]jeh johnson shoots down duncan hunter assertion is is entering you s[SEP],808,0
809,[CLS]jeh johnson shoots down duncan hunter assertion is is entering you s[SEP],809,1
810,[CLS]stainless steel apple watch could cost just 499 but gold will be 10 times as pricey[SEP],810,2
811,[CLS]do not reset all settings in ios 8 unless you want to lose your icloud files[SEP],811,3
812,[CLS]banksy arrest hoax us website claims street artist caught in watford[SEP],812,0
813,[CLS]cheeky vandals paint giant penis on bonnet of 1 5 million bugatti veyron sportscar[SEP],813,1
814,[CLS]audio recording allegedly captures at least 10 shots fired in michael brown killing[SEP],814,2
815,[CLS]soldier shot in ottawa at war memorial[SEP],815,3
816,[CLS]boyfriend cuts off his penis and throws it in the bin after girlfriend dumps him for being bad in bed[SEP],816,0
817,[CLS]sugarhill gang rapper big bank hank dies aged 57[SEP],817,1
818,[CLS]does isis have ebola [SEP],818,2
819,[CLS]rumor gold apple watch edition priced up to 5 000 steel version at 500 will debut on february 14[SEP],819,3
820,[CLS]this selfless homeless man receives 100 does not spend a dime on himself [SEP],820,0
821,[CLS]homeland security says terrorists have not crossed you mexico border[SEP],821,1
822,[CLS]isis claims to behead us journalist[SEP],822,2
823,[CLS]the pumpkin spice condom is just a figment of your own gross imagination[SEP],823,3
824,[CLS]dog found abandoned with suitcase filled with his belongings[SEP],824,0
825,[CLS]tropical spider burrowed under man skin through appendix scar and lived there for three days[SEP],825,1
826,[CLS]us officials video shows american execution[SEP],826,2
827,[CLS]canadian woman captured by isis in syria says she is actually fine and still fighting the jihadists despite kidnap reports[SEP],827,3
828,[CLS]chinese state media warns people to stop calling themselves dumbledore[SEP],828,0
829,[CLS]do all dogs go to heaven [SEP],829,1
830,[CLS]iraqi media says isis militants have contracted ebola[SEP],830,2
831,[CLS]more than 200 kidnapped nigerian girls to be released after deal reached with boko haram[SEP],831,3
832,[CLS]hoax alert father oneal who has met god and thinks she is a woman is made up just like god herself [SEP],832,0
833,[CLS]robert plant ripped up 800m led zeppelin reunion contract[SEP],833,1
834,[CLS]lebanon confirms holding isis chiefs kin[SEP],834,2
835,[CLS]this woman is wrongly being called a sexual predator after her private sex tape was used for a hoax[SEP],835,3
836,[CLS]watch us marine get shot in head by taliban sniper and live to tell tale[SEP],836,0
837,[CLS]who should play steve jobs now that christian bale quit [SEP],837,1
838,[CLS]nigeria says ceasefire agreed with boko haram[SEP],838,2
839,[CLS]north korean leader kim jong un had ankle surgery report says[SEP],839,3
840,[CLS]josh paler lin gives a homeless man 100 and follows him to see how he spends it[SEP],840,0
841,[CLS]weather channels mike seidel was not caught with his pants down[SEP],841,1
842,[CLS]update batman v superman batmobile reportedly stolen by shocker [SEP],842,2
843,[CLS]bunbury local discovered a spider had burrowed under his skin on bali holiday[SEP],843,3
844,[CLS]man has his penis cut off by angry mob after attempted rape of teenager[SEP],844,0
845,[CLS]wife of isis leader abu bakr al baghdadi detained in lebanon[SEP],845,1
846,[CLS]who investigates media reports isis fighters contracted ebola[SEP],846,2
847,[CLS]no banksy has not been arrested sigh [SEP],847,3
848,[CLS]who says reports of suspected ebola cases in iraq are untrue[SEP],848,0
849,[CLS]tropical spider burrows under man skin through scar[SEP],849,1
850,[CLS]cameron vows to hunt down is monsters after haines murder[SEP],850,2
851,[CLS]guru who ordered 400 followers to be castrated so they could be closer to god is investigated for grievous bodily harm in india[SEP],851,3
852,[CLS]texas plumber threatened over jihadis using his old truck[SEP],852,0
853,[CLS]rumor debunked robocop style robots are not patrolling microsoft campus[SEP],853,1
854,[CLS]missing mexican students not found in mass grave [SEP],854,2
855,[CLS]guantanamo detainee freed in bowe bergdahl swap back to terrorism [SEP],855,3
856,[CLS]espns all male monday night football panel on domestic violence is not real[SEP],856,0
857,[CLS]report christian bale just bailed on the steve jobs movie[SEP],857,1
858,[CLS]mass grave found after 40 students disappear in mexican protest[SEP],858,2
859,[CLS]ubs survey finds 10 of consumers want a smartwatch expects 24m apple watch sales in fiscal 2015[SEP],859,3
860,[CLS]bunbury local discovered a spider had burrowed under his skin on bali holiday[SEP],860,0
861,[CLS]no it is not tiger woods selling an island in lake mlaren[SEP],861,1
862,[CLS]turkish president says american weapons drop for kurdish fighters was wrong after supplies end up in the hands of isis[SEP],862,2
863,[CLS]man has his penis cut off by angry mob after attempted rape of teenager[SEP],863,3
864,[CLS]italian fisherman catches monstrous 280 pound catfish[SEP],864,0
865,[CLS]met police denies reports of banksy arrest[SEP],865,1
866,[CLS]the image that everyone is sharing by banksy is not by banksy but it is awesome[SEP],866,2
867,[CLS]north korea leader kim jong un is still in charge source[SEP],867,3
868,[CLS]isilkulskom student has gained superhero powers after shock[SEP],868,0
869,[CLS]high school student scores 72m playing the stock market[SEP],869,1
870,[CLS]media outlets identify jihadi john [SEP],870,2
871,[CLS]former pga tour player tiger woods suspended for drug test failure[SEP],871,3
872,[CLS]hoax banksy arrested in london story dupes the internet again[SEP],872,0
873,[CLS]china satirical site warns citizens over name choices[SEP],873,1
874,[CLS]nigeria boko haram blamed for raids despite truce claim[SEP],874,2
875,[CLS]net extra back from the dead catholic priest claims god is a female [SEP],875,3
876,[CLS]turkish leader says you s[SEP],876,0
877,[CLS]expert casts doubt on bunbury man dylan thomass burrowing stomach spider story[SEP],877,1
878,[CLS]gcpd solved stolen batmobile case [SEP],878,2
879,[CLS]isis fed murdered kidnap victim to his own mother after she travelled to their headquarters and demanded to see him [SEP],879,3
880,[CLS]no islamic state militants have not been caught by you s[SEP],880,0
881,[CLS]spider burrows into australian man appendix scar video [SEP],881,1
882,[CLS]predator drones being flown over isil syrian capital [SEP],882,2
883,[CLS]pictured libyan islamist rebels pose with planes seized from tripoli airport as you s[SEP],883,3
884,[CLS]italian catches huge wels catfish is it a record [SEP],884,0
885,[CLS]meteorite strike in nicaragua puzzles experts[SEP],885,1
886,[CLS]senator detainees swapped for bergdahl have contacted militants[SEP],886,2
887,[CLS]alleged audio of michael brown shooting released[SEP],887,3
888,[CLS]angry mob cut off rapists penis with meat cleaver viewer discretion [SEP],888,0
889,[CLS]bali spider burrows under aussies chest[SEP],889,1
890,[CLS]star wars the force awakens to be released this summer [SEP],890,2
891,[CLS]boyfriend cuts off his penis and throws it in the bin after girlfriend dumps him for being bad in bed[SEP],891,3
892,[CLS]dog abandoned at scotland train station with suitcase[SEP],892,0
893,[CLS]aaron sorkin confirms christian bale will play steve jobs[SEP],893,1
894,[CLS]fears journalist james wright foley beheaded by islamic state jihadists in message to united states[SEP],894,2
895,[CLS]big bank hank of the sugarhill gang is dead at 57[SEP],895,3
896,[CLS]lynch mob castrates alleged rapist in rajasthan[SEP],896,0
897,[CLS]oscar winner christian bale to play steve jobs in upcoming biopic[SEP],897,1
898,[CLS]batmobile not stolen mtv contest prize remains unclaimed[SEP],898,2
899,[CLS]isis claims to behead us journalist[SEP],899,3
900,[CLS]israeli canadian fighting isis posts on facebook I am safe and secure[SEP],900,0
901,[CLS]jeh johnson politicians should not feed the flames of fear over isis ebola[SEP],901,1
902,[CLS]an audio recording of the michael brown shooting has reportedly surfaced[SEP],902,2
903,[CLS]islamic state in video titled a message to america beheads american journalist james wright foley who was kidnapped in 2012[SEP],903,3
904,[CLS]cameron vows to hunt down is monsters after haines murder[SEP],904,0
905,[CLS]rare meteorite impact causes blast in nicaragua capital managua[SEP],905,1
906,[CLS]newly discovered mass grave linked to missing mexican students[SEP],906,2
907,[CLS]viral video of homeless man spending 100 on food for other homeless was faked witness says[SEP],907,3
908,[CLS]missing mexican students not found in mass grave [SEP],908,0
909,[CLS]christian bale exits steve jobs movie exclusive [SEP],909,1
910,[CLS]large space object slams nicaraguas capital as asteroid passes earth[SEP],910,2
911,[CLS]kim jong un bans the name kim jong un [SEP],911,3
912,[CLS]carlisle head slapper attacks sneezing women[SEP],912,0
913,[CLS]god is a woman priest who died for 48 minutes claims[SEP],913,1
914,[CLS]david haines beheading video confirmed genuine uk pm cameron vows to hunt down isis monsters [SEP],914,2
915,[CLS]fence jumper made it deeper into the white house than secret service claims[SEP],915,3
916,[CLS]dog abandoned at ayr station with belongings in suitcase[SEP],916,0
917,[CLS]the chinese guide to avoiding a bad english name[SEP],917,1
918,[CLS]cnn broadcasts purported audio containing gunshots that felled michael brown jr leaders celebrities fill pews at teens funeral[SEP],918,2
919,[CLS]boko haram denies truce to release kidnapped schoolgirls[SEP],919,3
920,[CLS]man who slaps people if they sneeze in public being hunted by police[SEP],920,0
921,[CLS]meteorite strikes nicaraguan capital creates 16 foot deep crater[SEP],921,1
922,[CLS]accountant claims comcast got him fired from his job for reporting a customer service issue[SEP],922,2
923,[CLS]journalist james wright foley reportedly beheaded by isis[SEP],923,3
924,[CLS]police hunting mystery slapper in tweed jacket who attacks people who sneeze in town high street[SEP],924,0
925,[CLS]sorry fido[SEP],925,1
926,[CLS]fidel castro dead [SEP],926,2
927,[CLS]saudi cleric condemns snowmen as anti islamic[SEP],927,3
928,[CLS]tiger woods is not on suspension for failing a drug test his agent and a pga official say[SEP],928,0
929,[CLS]chinese state media warns people to stop calling themselves dumbledore[SEP],929,1
930,[CLS]wfbs bill gertz obama administration trying to play down missing libyan airliners[SEP],930,2
931,[CLS]islamic state may have fighter jets now after seizing russian made migs[SEP],931,3
932,[CLS]brian williams no our meteorologist was not peeing on live tv[SEP],932,0
933,[CLS]homeless man receives 100 then shocks everyone with how he spends it[SEP],933,1
934,[CLS]seth rogen eyed to play apple steve wozniak in christian bale steve jobs movie exclusive [SEP],934,2
935,[CLS]absent from duty for 25 years cpwd official dismissed[SEP],935,3
936,[CLS]magic mushroom found growing at buckingham palace[SEP],936,0
937,[CLS]sugarhill gang rapper big bank hank dies aged 57[SEP],937,1
938,[CLS]james foley remembered as brave and tireless journalist[SEP],938,2
939,[CLS]did a meteorite impact in nicaragua over the weekend [SEP],939,3
940,[CLS]no banksy did not create that charlie hebdo tribute cartoon but that does not mean you can not appreciate it[SEP],940,0
941,[CLS]meteorite makes big crater in nicaragua government says[SEP],941,1
942,[CLS]ebola scare in kansas city[SEP],942,2
943,[CLS]fears journalist james wright foley beheaded by islamic state jihadists in message to united states[SEP],943,3
944,[CLS]an accidental delivery of arms to the islamic state and the problem with airdrops[SEP],944,0
945,[CLS]bunbury local discovered a spider had burrowed under his skin on bali holiday[SEP],945,1
946,[CLS]report nearly a dozen commercial airliners missing ahead of 9 11 anniversary after islamists overrun libyan airport[SEP],946,2
947,[CLS]zack snyder makes fun of stolen batmobile rumor with new image[SEP],947,3
